,Id,Partner,PartnerExposureDate,Total Impressions,LogoImpressions,FollowerInteractionRate,BrandExposureValue,Engagement,ServiceType
181,247980691,Rakuten,1/3/2023 4:47:25 AM,9175.0,1610.0,0.0014987933443414,5.135335,59,Twitter
182,1452733604,Rakuten,1/3/2023 4:50:24 AM,462838.0,81200.0,0.0,81.5719,0,Instagram Story
183,-1957596399,Rakuten,1/3/2023 5:06:51 AM,12897.0,2745.0,0.0026417394838447,0.007289753,104,Twitter
186,1980004455,Rakuten,1/3/2023 5:07:06 AM,220694.0,38719.0,0.0006166727185526,676.5369,4976,Twitter
187,-1052960811,Rakuten,1/3/2023 5:09:20 AM,11361.0,2474.0,0.0016002438466814,0.006787621,63,Twitter
188,-573671379,Rakuten,1/3/2023 5:09:45 AM,1222831.0,1222831.0,0.0030553017536692,6.905963,83334,Instagram
189,226143944,Rakuten,1/3/2023 5:17:29 AM,16076.0,3539.0,0.0026161387823524,0.4303379,103,Twitter
190,428090778,Rakuten,1/3/2023 5:22:32 AM,586313.0,232471.0,0.0014959340485296,81.11993,12071,Twitter
191,7806890,Rakuten,1/3/2023 5:23:49 AM,320475.0,56224.0,0.0008272172955459,563.7059,6675,Twitter
192,-1840207901,Rakuten,1/3/2023 5:23:54 AM,57431.0,14857.0,0.0145538594396891,2.806712,573,Twitter
193,639631939,Rakuten,1/3/2023 5:25:16 AM,450604.0,79054.0,0.0,162.1384,0,Instagram Story
194,-1926025748,Rakuten,1/3/2023 5:28:00 AM,8730.0,1532.0,0.0016762330471885,10.31762,66,Twitter
195,690718849,Rakuten,1/3/2023 5:31:35 AM,211783.0,53722.0,0.0003917322558981,0.2181955,3161,Twitter
197,-1272756893,Rakuten,1/3/2023 5:33:04 AM,15005.0,3286.0,0.0036318382689084,4.458514,143,Twitter
209,-801202597,Rakuten,1/3/2023 5:38:49 AM,381105.0,106774.0,0.0006554425588061,10.42503,5289,Twitter
210,888130057,Rakuten,1/3/2023 5:40:17 AM,77521.0,23597.0,0.024125758691622,0.3696548,950,Twitter
212,297591696,Rakuten,1/3/2023 5:40:19 AM,3357257.0,3357257.0,0.0136149634186148,17.3773,371351,Instagram
213,-758728911,Rakuten,1/3/2023 5:42:40 AM,377219.0,66179.0,0.0009097334038714,1029.018,7341,Twitter
214,-1241607211,Rakuten,1/3/2023 5:43:51 AM,455212.0,79862.0,0.0,378.4328,0,Instagram Story
215,-923389253,Rakuten,1/3/2023 5:53:31 AM,25591.0,6463.0,0.0058911657906096,0.3648983,232,Twitter
218,-439074545,Rakuten,1/3/2023 5:58:14 AM,463696.0,119481.0,0.0015221382951183,3308.313,12283,Twitter
220,2049922003,Rakuten,1/3/2023 5:59:08 AM,82059.0,22423.0,0.0287702191412102,0.5564743,1133,Twitter
222,-161192818,Rakuten,1/3/2023 5:59:26 AM,984212.0,172669.0,0.0034917472355193,1954.926,28177,Twitter
223,1667792254,Rakuten,1/3/2023 5:59:49 AM,2188229.0,383900.0,0.0139616885090275,5102.25,380808,Instagram
224,207887035,Rakuten,1/3/2023 5:59:50 AM,1954636.0,0.0,0.0071711610107964,2763.593,83780,Facebook
225,-1531812989,Rakuten,1/3/2023 6:00:45 AM,454645.0,79763.0,0.0,168.2907,0,Instagram Story
226,-475562125,Rakuten,1/3/2023 6:03:36 AM,331116.0,96949.0,0.0011183780556504,23.11479,9025,Twitter
229,1199663208,Rakuten,1/3/2023 6:03:55 AM,20969.0,3679.0,0.0063988624244578,22.93727,252,Twitter
